latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-22.31024,-63.74002,316.33,0.4,0.44,2026-02-16,0508,N,VIIRS,n,2.0NRT,289.05,1.36,N
-27.03477,-60.28352,295.96,0.39,0.36,2026-02-16,0510,N,VIIRS,n,2.0NRT,282.73,0.93,N
-27.43573,-60.84089,308.87,0.4,0.37,2026-02-16,0510,N,VIIRS,n,2.0NRT,293.66,3.2,N
-25.20048,-57.93847,315.7,0.39,0.36,2026-02-16,0510,N,VIIRS,n,2.0NRT,291.75,1.86,N
-27.43641,-60.83686,305.8,0.4,0.37,2026-02-16,0510,N,VIIRS,n,2.0NRT,293.39,3.45,N
-34.85851,-57.89611,327.12,0.45,0.39,2026-02-16,0512,N,VIIRS,n,2.0NRT,291.37,2.07,N
-33.25807,-60.28079,328.34,0.39,0.36,2026-02-16,0512,N,VIIRS,n,2.0NRT,291.17,2.55,N
-33.36258,-60.14603,319.63,0.39,0.36,2026-02-16,0512,N,VIIRS,n,2.0NRT,292.41,2.29,N
-33.25744,-60.28497,332.56,0.39,0.36,2026-02-16,0512,N,VIIRS,n,2.0NRT,291.68,2.55,N
-33.36739,-60.16006,340,0.39,0.36,2026-02-16,0512,N,VIIRS,n,2.0NRT,292.65,3.87,N
-33.37074,-60.16078,316.01,0.39,0.36,2026-02-16,0512,N,VIIRS,n,2.0NRT,291.5,1.19,N
-33.37137,-60.15658,305.27,0.39,0.36,2026-02-16,0512,N,VIIRS,n,2.0NRT,291.08,1.19,N
-33.37663,-60.14471,321.1,0.39,0.36,2026-02-16,0512,N,VIIRS,n,2.0NRT,292.72,6.15,N
-33.37599,-60.14891,318.33,0.39,0.36,2026-02-16,0512,N,VIIRS,n,2.0NRT,290.03,6.02,N
-32.73768,-68.8469,304.83,0.49,0.49,2026-02-16,0512,N,VIIRS,n,2.0NRT,291.44,1.51,N
-34.85915,-57.89112,306.22,0.45,0.39,2026-02-16,0512,N,VIIRS,n,2.0NRT,290.69,2.07,N
-33.06254,-68.97574,301.9,0.49,0.49,2026-02-16,0512,N,VIIRS,n,2.0NRT,290.94,1.6,N
-36.98118,-60.24402,308.51,0.4,0.37,2026-02-16,0512,N,VIIRS,n,2.0NRT,291.33,0.68,N
-36.98459,-60.24477,306.11,0.4,0.37,2026-02-16,0512,N,VIIRS,n,2.0NRT,289.46,0.79,N
-37.03959,-60.29666,309.92,0.4,0.37,2026-02-16,0512,N,VIIRS,n,2.0NRT,290.83,1.81,N
-38.74601,-68.83974,309.2,0.56,0.43,2026-02-16,0514,N,VIIRS,n,2.0NRT,286.4,1.64,N
-38.52937,-69.09456,321.39,0.39,0.44,2026-02-16,0514,N,VIIRS,n,2.0NRT,289.02,1.5,N
-38.98246,-67.98953,295.28,0.51,0.41,2026-02-16,0514,N,VIIRS,n,2.0NRT,284.31,0.53,N
