latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-23.41754,-61.4716,307.65,0.45,0.39,2026-01-31,0508,N,VIIRS,n,2.0NRT,292.25,1.21,N
-26.04489,-54.50144,302.58,0.52,0.41,2026-01-31,0510,N,VIIRS,n,2.0NRT,290.85,0.57,N
-25.77994,-61.28596,306.42,0.42,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,294.45,0.94,N
-26.41531,-58.58496,338.01,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,293.68,3.02,N
-26.33286,-60.95663,313.29,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,295.26,1.35,N
-26.33627,-60.95735,323.68,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,296.17,1.35,N
-26.33557,-60.96141,306.39,0.41,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,295.31,1.35,N
-26.88648,-61.02127,329.03,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,294.52,2.34,N
-30.432,-63.84585,308.51,0.46,0.39,2026-01-31,0510,N,VIIRS,n,2.0NRT,289.57,1.15,N
-30.74198,-58.0229,320.89,0.41,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,292.39,1.78,N
-29.7844,-62.63525,302.55,0.42,0.38,2026-01-31,0510,N,VIIRS,n,2.0NRT,291.32,0.53,N
-30.38632,-58.8473,305.83,0.39,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,292.49,0.5,N
-30.23591,-59.01851,305.46,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,290.79,0.72,N
-29.80686,-61.3887,302.34,0.39,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,281.34,1.01,N
-29.54675,-62.85112,307.6,0.43,0.38,2026-01-31,0510,N,VIIRS,n,2.0NRT,289.8,0.6,N
-31.34714,-58.96718,313.35,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,291.71,1.22,N
-29.36092,-60.95902,304.49,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,291.23,0.4,N
-29.23469,-61.02457,305.76,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,291.43,1.08,N
-29.23401,-61.02861,315.59,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,288.08,1.08,N
-29.38426,-56.8132,315.41,0.44,0.38,2026-01-31,0510,N,VIIRS,n,2.0NRT,292.65,1.45,N
-28.68812,-61.31643,304.07,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,292.87,1.09,N
-30.43561,-63.84673,317.4,0.46,0.39,2026-01-31,0510,N,VIIRS,n,2.0NRT,289.97,1.82,N
-27.05105,-62.71687,316.88,0.46,0.39,2026-01-31,0510,N,VIIRS,n,2.0NRT,292.46,1.16,N
-27.05021,-62.72147,302.71,0.46,0.39,2026-01-31,0510,N,VIIRS,n,2.0NRT,291.86,1.16,N
-25.03825,-58.26596,331.58,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,294.61,3.71,N
-25.04159,-58.26658,344.75,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,291.76,3.71,N
-25.041,-58.27042,314.17,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,291.53,1.92,N
-25.04434,-58.27105,302.99,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,292.27,0.51,N
-25.19783,-57.7934,313.48,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,293.81,1.03,N
-25.19841,-57.7895,318.22,0.39,0.36,2026-01-31,0510,N,VIIRS,n,2.0NRT,294.27,1.03,N
-25.04371,-60.24403,338.29,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,298.28,6.5,N
-25.04438,-60.24008,352.28,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,301.65,6.5,N
-25.0471,-60.24472,304.77,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,294.49,6.5,N
-25.04776,-60.24076,349.02,0.4,0.37,2026-01-31,0510,N,VIIRS,n,2.0NRT,295.96,6.5,N
-34.85727,-57.89255,317.79,0.45,0.39,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.68,1.91,N
-36.1423,-57.32022,346.62,0.49,0.4,2026-01-31,0512,N,VIIRS,n,2.0NRT,290.95,5.28,N
-36.14164,-57.32576,306.35,0.49,0.4,2026-01-31,0512,N,VIIRS,n,2.0NRT,289.73,5.28,N
-36.92398,-60.15724,297.86,0.4,0.37,2026-01-31,0512,N,VIIRS,n,2.0NRT,287.1,1.14,N
-34.86581,-58.36909,300.5,0.44,0.38,2026-01-31,0512,N,VIIRS,n,2.0NRT,288.9,0.55,N
-36.98395,-60.2477,303.02,0.4,0.37,2026-01-31,0512,N,VIIRS,n,2.0NRT,288.07,1.01,N
-34.62362,-58.96973,328.59,0.42,0.37,2026-01-31,0512,N,VIIRS,n,2.0NRT,289.73,2.88,N
-34.84621,-58.21117,304.29,0.44,0.38,2026-01-31,0512,N,VIIRS,n,2.0NRT,288.76,0.55,N
-32.39304,-59.80497,326.13,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.52,1.76,N
-33.25552,-60.28402,321.06,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,293.58,1.23,N
-33.25616,-60.27983,317.74,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,293.35,1.23,N
-33.25888,-60.28474,318.91,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.46,1.23,N
-33.25951,-60.28055,317.38,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,291.98,1.23,N
-33.36159,-60.15525,306.05,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.6,1.58,N
-33.36222,-60.15105,309.01,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.93,1.2,N
-33.36286,-60.14684,307.09,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,293.38,1.2,N
-33.36767,-60.16089,323.45,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,293.22,1.76,N
-33.36894,-60.15248,311.01,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.68,1.09,N
-33.36958,-60.14828,313.75,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.85,1.09,N
-33.36955,-60.15063,324.37,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,293.03,2.66,N
-33.36766,-60.16325,310.22,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.59,1.47,N
-33.36829,-60.15904,312.73,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.97,1.16,N
-33.37165,-60.15977,316.12,0.39,0.36,2026-01-31,0512,N,VIIRS,n,2.0NRT,292.79,1.16,N
